2019-11-26T17:48:30+00:00 CRITICAL syntax error, unexpected 'echo' (T_ECHO), expecting function (T_FUNCTION) or const (T_CONST) in C:\Bitnami\wordpress-5.2.3-0\apps\wordpress\htdocs\wp-content\plugins\wp-events-manager\inc\class-wpems-post-types.php on line 354

2019-11-26T17:50:04+00:00 CRITICAL syntax error, unexpected 'echo' (T_ECHO), expecting function (T_FUNCTION) or const (T_CONST) in C:\Bitnami\wordpress-5.2.3-0\apps\wordpress\htdocs\wp-content\plugins\wp-events-manager\inc\class-wpems-post-types.php on line 354

2019-11-26T17:50:18+00:00 CRITICAL syntax error, unexpected 'echo' (T_ECHO), expecting function (T_FUNCTION) or const (T_CONST) in C:\Bitnami\wordpress-5.2.3-0\apps\wordpress\htdocs\wp-content\plugins\wp-events-manager\inc\class-wpems-post-types.php on line 354

2019-11-26T17:50:33+00:00 CRITICAL syntax error, unexpected 'echo' (T_ECHO), expecting function (T_FUNCTION) or const (T_CONST) in C:\Bitnami\wordpress-5.2.3-0\apps\wordpress\htdocs\wp-content\plugins\wp-events-manager\inc\class-wpems-post-types.php on line 354

2019-11-26T17:50:48+00:00 CRITICAL syntax error, unexpected 'echo' (T_ECHO), expecting function (T_FUNCTION) or const (T_CONST) in C:\Bitnami\wordpress-5.2.3-0\apps\wordpress\htdocs\wp-content\plugins\wp-events-manager\inc\class-wpems-post-types.php on line 354

2019-11-26T17:51:03+00:00 CRITICAL syntax error, unexpected 'echo' (T_ECHO), expecting function (T_FUNCTION) or const (T_CONST) in C:\Bitnami\wordpress-5.2.3-0\apps\wordpress\htdocs\wp-content\plugins\wp-events-manager\inc\class-wpems-post-types.php on line 354

2019-11-26T17:51:10+00:00 CRITICAL syntax error, unexpected 'echo' (T_ECHO), expecting function (T_FUNCTION) or const (T_CONST) in C:\Bitnami\wordpress-5.2.3-0\apps\wordpress\htdocs\wp-content\plugins\wp-events-manager\inc\class-wpems-post-types.php on line 354

2019-11-26T17:51:13+00:00 CRITICAL syntax error, unexpected 'echo' (T_ECHO), expecting function (T_FUNCTION) or const (T_CONST) in C:\Bitnami\wordpress-5.2.3-0\apps\wordpress\htdocs\wp-content\plugins\wp-events-manager\inc\class-wpems-post-types.php on line 354

2019-11-26T17:51:14+00:00 CRITICAL syntax error, unexpected 'echo' (T_ECHO), expecting function (T_FUNCTION) or const (T_CONST) in C:\Bitnami\wordpress-5.2.3-0\apps\wordpress\htdocs\wp-content\plugins\wp-events-manager\inc\class-wpems-post-types.php on line 354

2019-11-26T17:51:19+00:00 CRITICAL syntax error, unexpected 'echo' (T_ECHO), expecting function (T_FUNCTION) or const (T_CONST) in C:\Bitnami\wordpress-5.2.3-0\apps\wordpress\htdocs\wp-content\plugins\wp-events-manager\inc\class-wpems-post-types.php on line 354

2019-11-26T17:51:27+00:00 CRITICAL syntax error, unexpected 'echo' (T_ECHO), expecting function (T_FUNCTION) or const (T_CONST) in C:\Bitnami\wordpress-5.2.3-0\apps\wordpress\htdocs\wp-content\plugins\wp-events-manager\inc\class-wpems-post-types.php on line 354

2019-11-26T17:53:10+00:00 CRITICAL syntax error, unexpected 'echo' (T_ECHO), expecting function (T_FUNCTION) or const (T_CONST) in C:\Bitnami\wordpress-5.2.3-0\apps\wordpress\htdocs\wp-content\plugins\wp-events-manager\inc\class-wpems-post-types.php on line 354

2019-11-26T17:53:50+00:00 CRITICAL syntax error, unexpected 'echo' (T_ECHO), expecting function (T_FUNCTION) or const (T_CONST) in C:\Bitnami\wordpress-5.2.3-0\apps\wordpress\htdocs\wp-content\plugins\wp-events-manager\inc\class-wpems-post-types.php on line 354

2019-11-26T17:54:04+00:00 CRITICAL syntax error, unexpected 'echo' (T_ECHO), expecting function (T_FUNCTION) or const (T_CONST) in C:\Bitnami\wordpress-5.2.3-0\apps\wordpress\htdocs\wp-content\plugins\wp-events-manager\inc\class-wpems-post-types.php on line 354

2019-11-26T17:54:33+00:00 CRITICAL syntax error, unexpected 'echo' (T_ECHO), expecting function (T_FUNCTION) or const (T_CONST) in C:\Bitnami\wordpress-5.2.3-0\apps\wordpress\htdocs\wp-content\plugins\wp-events-manager\inc\class-wpems-post-types.php on line 354

2019-11-26T17:56:57+00:00 CRITICAL syntax error, unexpected 'echo' (T_ECHO), expecting function (T_FUNCTION) or const (T_CONST) in C:\Bitnami\wordpress-5.2.3-0\apps\wordpress\htdocs\wp-content\plugins\wp-events-manager\inc\class-wpems-post-types.php on line 354

